Order_ID,Date,Region,Product,Category,Sales,Quantity
1001,2024-04-16,West,Laptop,Electronics,342275,5
1002,2024-01-30,West,Laptop,Electronics,355140,5
1003,2024-02-01,West,Chair,Furniture,15358,2
1004,2024-01-06,North,Chair,Furniture,32305,5
1005,2024-01-23,East,Laptop,Electronics,141192,2
1006,2024-03-12,East,Mobile,Electronics,25473,1
1007,2024-02-11,East,Mobile,Electronics,77985,3
1008,2024-04-12,North,Chair,Furniture,36136,4
1009,2024-04-23,West,Chair,Furniture,29685,3
1010,2024-02-02,North,Table,Furniture,34833,3
1011,2024-04-23,North,Table,Furniture,37035,3
1012,2024-01-05,South,Mobile,Electronics,79650,3
1013,2024-04-22,West,Table,Furniture,24168,2
1014,2024-04-28,East,Printer,Electronics,27708,2
1015,2024-01-22,South,Laptop,Electronics,353340,5
1016,2024-02-09,North,Chair,Furniture,12410,2
1017,2024-01-04,East,Chair,Furniture,31960,4
1018,2024-03-11,South,Table,Furniture,60070,5
1019,2024-01-10,North,Table,Furniture,32046,3
1020,2024-03-21,North,Chair,Furniture,38430,5
1021,2024-01-05,North,Laptop,Electronics,140480,2
1022,2024-03-27,West,Laptop,Electronics,141586,2
1023,2024-03-26,West,Chair,Furniture,28605,3
1024,2024-02-04,East,Headphones,Electronics,4690,2
1025,2024-02-04,South,Chair,Furniture,21195,3
1026,2024-04-11,West,Laptop,Electronics,140016,2
1027,2024-01-18,West,Laptop,Electronics,275404,4
1028,2024-01-28,South,Mobile,Electronics,80223,3
1029,2024-01-02,East,Chair,Furniture,26832,4
1030,2024-01-01,South,Headphones,Electronics,5000,2
1031,2024-04-17,North,Table,Furniture,25518,2
1032,2024-03-21,East,Table,Furniture,24850,2
1033,2024-01-18,East,Table,Furniture,58820,5
1034,2024-04-22,South,Printer,Electronics,33002,2
1035,2024-04-22,North,Laptop,Electronics,70843,1
1036,2024-02-29,North,Headphones,Electronics,18800,4
1037,2024-04-12,East,Chair,Furniture,44305,5
1038,2024-04-05,South,Table,Furniture,66795,5
1039,2024-03-18,West,Laptop,Electronics,342265,5
1040,2024-01-24,East,Printer,Electronics,15476,1
1041,2024-03-26,West,Table,Furniture,65900,5
1042,2024-01-01,West,Mobile,Electronics,105644,4
1043,2024-01-26,East,Chair,Furniture,7318,1
1044,2024-03-21,North,Table,Furniture,12608,1
1045,2024-03-13,East,Chair,Furniture,9348,1
1046,2024-04-08,East,Printer,Electronics,28072,2
1047,2024-04-12,North,Table,Furniture,11845,1
1048,2024-01-17,North,Laptop,Electronics,206880,3
1049,2024-03-14,East,Mobile,Electronics,101640,4
1050,2024-04-19,North,Mobile,Electronics,94184,4
